,Model,F1 (mean),F1 (std),AUC (mean),AUC (std),Accuracy (mean),Precision (mean),Recall (mean)
1,Random Forest,0.9886112246685779,0.0017436145662056435,0.9800438441172998,0.005836185813264424,0.9802402941574334,0.9781234881466819,0.9993322203672788
2,LightGBM,0.9875760222254882,0.0027054211629248884,0.9808796478980119,0.004385330127326389,0.9785239658783936,0.9805962185234977,0.9946605453533668
3,XGBoost,0.987436598117647,0.0017449397359718738,0.9809931648145337,0.0037063641441460724,0.9782366130903337,0.978385578236213,0.9966627712854759
4,Gradient Boosting,0.9862616779042573,0.002059414498472837,0.9815470846472516,0.003864085833097468,0.9762304725129226,0.9783282630940369,0.9943260990539787
5,K-Nearest Neighbors,0.9843650549983213,0.0015337700646624519,0.9532413899709393,0.00930651628472046,0.9727945366077613,0.9711092255508957,0.9979977740678908
6,SVM (RBF),0.9838567875895745,0.0004322517474389892,0.9821568045507945,0.005006494971030176,0.9722218806235678,0.9811078702294932,0.9866477462437395
7,Logistic Regression,0.9810748955874832,0.003020829707492157,0.976546955363316,0.00718823116228121,0.9676398129132491,0.9845443661997499,0.9776382860322761
8,Decision Tree,0.974925194881377,0.007119805697556042,0.9347969455264948,0.007909239726325913,0.957325446503601,0.9807763094812889,0.9692899276572063
